"","TaxonID","class","scientificName","documentType","urls"
"61",6905,"Gastropoda","Polygyriscus virginianus","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1221.pdf"
"62",7835,"Gastropoda","Anguispira picta","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/060206.pdf"
"63",7835,"Gastropoda","Anguispira picta","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3756.pdf"
"64",7835,"Gastropoda","Anguispira picta","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2361.pdf"
"65",7835,"Gastropoda","Anguispira picta","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1137.pdf"
"66",534,"Gastropoda","Discus macclintocki","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/840322.pdf"
"67",534,"Gastropoda","Discus macclintocki","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2949.pdf"
"68",534,"Gastropoda","Discus macclintocki","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2154.pdf"
"69",534,"Gastropoda","Discus macclintocki","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1483.pdf"
"70",294,"Gastropoda","Cryptomastix devia","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/189472"
"71",8598,"Gastropoda","Cryptomastix hendersoni","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/226036"
"72",464,"Gastropoda","Triodopsis platysayoides","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/830509b.pdf"
"73",464,"Gastropoda","Triodopsis platysayoides","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2768.pdf"
"74",464,"Gastropoda","Triodopsis platysayoides","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1130.pdf"
"75",2309,"Gastropoda","Helminthoglypta walkeriana","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/173393"
"76",2309,"Gastropoda","Helminthoglypta walkeriana","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/183161"
"77",2309,"Gastropoda","Helminthoglypta walkeriana","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/Morro Shoulderband clarification.pdf"
"78",2309,"Gastropoda","Helminthoglypta walkeriana","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/980928e.pdf"
"79",2309,"Gastropoda","Helminthoglypta walkeriana","ReviewURLs","https://www.govinfo.gov/link/fr/85/44821?link-type=pdf"
"80",2309,"Gastropoda","Helminthoglypta walkeriana","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1019.pdf"
"81",2309,"Gastropoda","Helminthoglypta walkeriana","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/66/9233?link-type=pdf"
"82",1015,"Gastropoda","Sonorella eremita","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/242757"
"83",7840,"Gastropoda","Sonorella grahamensis","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/242757"
"84",785,"Bivalvia","Alasmidonta varicosa","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/164394"
"85",5039,"Bivalvia","Alasmidonta raveneliana","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/960826.pdf"
"86",5039,"Bivalvia","Alasmidonta raveneliana","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3854.pdf"
"87",5039,"Bivalvia","Alasmidonta raveneliana","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2386.pdf"
"88",5039,"Bivalvia","Alasmidonta raveneliana","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1317.pdf"
"89",5039,"Bivalvia","Alasmidonta raveneliana","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/67/61016?link-type=pdf"
"90",9871,"Bivalvia","Alasmidonta triangulata","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/244563"
"91",9871,"Bivalvia","Alasmidonta triangulata","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/225914"
"92",9871,"Bivalvia","Alasmidonta triangulata","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/88/40160"
"93",1248,"Bivalvia","Alasmidonta atropurpurea","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/040524.pdf"
"94",1248,"Bivalvia","Alasmidonta atropurpurea","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3755.pdf"
"95",1248,"Bivalvia","Alasmidonta atropurpurea","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2345.pdf"
"96",1248,"Bivalvia","Alasmidonta atropurpurea","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1037.pdf"
"97",1248,"Bivalvia","Alasmidonta atropurpurea","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/69/53136?link-type=pdf"
"98",1775,"Bivalvia","Elliptio chipolaensis","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/Chipola slabshell Recovery Plan Amendment.pdf"
"99",1775,"Bivalvia","Elliptio chipolaensis","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/030930.pdf"
"100",1775,"Bivalvia","Elliptio chipolaensis","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1075.pdf"
"101",1775,"Bivalvia","Elliptio chipolaensis","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/72/64286?link-type=pdf"
"102",4511,"Bivalvia","Elliptio lanceolata","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/189393"
"103",4511,"Bivalvia","Elliptio lanceolata","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/161999"
"104",4511,"Bivalvia","Elliptio lanceolata","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/138974"
"105",4511,"Bivalvia","Elliptio lanceolata","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/129050"
