,t1_f1,t2_f1,t3_f1,t4_f1,t5_f1,t6_f1,t7_f1,t8_f1,t9_f1,t10_f1,t11_f1,t12_f1,t13_f1
685,0.6666666666666666,0.5,0.5714285714285714,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.7142857142857143,0.8235294117647058,0.7058823529411765,0.0,0.8235294117647058,0.8571428571428571,0.6666666666666666
686,0.8333333333333334,0.46153846153846156,0.5,0.5,0.5714285714285714,0.0,0.36363636363636365,0.7777777777777778,0.7777777777777778,0.0,0.6153846153846154,0.8,0.0
687,0.7142857142857143,0.6666666666666666,0.5714285714285714,0.0,0.5714285714285714,0.5,0.7692307692307693,0.8235294117647058,0.75,0.0,0.8,0.7142857142857143,0.0
688,0.6666666666666666,0.8571428571428571,0.4444444444444444,0.3333333333333333,0.4,0.4,0.5454545454545454,0.8421052631578947,0.75,0.0,0.75,0.5714285714285714,0.0
689,0.5714285714285714,0.25,0.3333333333333333,0.5,0.5,0.5,0.8571428571428571,0.875,0.8421052631578947,0.0,0.8,0.6153846153846154,0.0
690,0.6153846153846154,0.25,0.5,0.5454545454545454,0.5,0.5714285714285714,0.8333333333333334,0.7142857142857143,0.75,0.0,0.875,0.4,0.6666666666666666
691,0.75,0.5,0.8888888888888888,0.2857142857142857,0.6666666666666666,0.4444444444444444,0.6153846153846154,0.6666666666666666,0.75,0.0,0.8235294117647058,0.6666666666666666,0.0
692,0.7142857142857143,0.6666666666666666,0.75,0.2,0.6666666666666666,0.4,0.7692307692307693,0.6666666666666666,0.75,0.0,0.8571428571428571,0.4,1.0
693,0.5454545454545454,0.7272727272727273,0.2857142857142857,0.2857142857142857,0.0,0.5714285714285714,0.7272727272727273,0.7777777777777778,0.8235294117647058,0.0,0.75,0.6153846153846154,0.0
694,0.8,0.5454545454545454,0.75,0.4,0.5714285714285714,0.4,0.6153846153846154,0.7777777777777778,0.75,0.0,0.8,0.8333333333333334,0.0
695,0.6666666666666666,0.6,0.7272727272727273,0.25,1.0,0.6666666666666666,0.5454545454545454,0.875,0.8,0.0,0.6666666666666666,0.7692307692307693,0.6666666666666666
696,0.7692307692307693,0.6,0.5,0.3333333333333333,1.0,0.4,0.4,0.8,0.8888888888888888,0.0,0.8235294117647058,0.7777777777777778,0.0
